time/s	Ewe/V	<I>/mA	cycle number	
9.279820633764844E+003	2.0818394E-001	-4.658996006874794E-002	1.000000000000000E+000
9.283153733724437E+003	2.0915671E-001	-4.619438969819528E-002	1.000000000000000E+000
9.286486833684088E+003	2.1014988E-001	-4.579912723495072E-002	1.000000000000000E+000
9.289819933643768E+003	2.1114433E-001	-4.540281981124938E-002	1.000000000000000E+000
9.293153033603419E+003	2.1220501E-001	-4.496229039615213E-002	1.000000000000000E+000
9.296486133563056E+003	2.1321960E-001	-4.452145596396184E-002	1.000000000000000E+000
9.299819233522707E+003	2.1421601E-001	-4.413307807293607E-002	1.000000000000000E+000
9.303152333482329E+003	2.1519554E-001	-4.375477607473011E-002	1.000000000000000E+000
9.306485433441980E+003	2.1621802E-001	-4.338035134513141E-002	1.000000000000000E+000
9.309818533401631E+003	2.1720736E-001	-4.300527093112183E-002	1.000000000000000E+000
9.313151533361277E+003	2.1820456E-001	-4.263465078650200E-002	1.000000000000000E+000
9.316484633320943E+003	2.1920449E-001	-4.229261816317209E-002	1.000000000000000E+000
9.319817733280535E+003	2.2021231E-001	-4.194070480033346E-002	1.000000000000000E+000
9.323150833240186E+003	2.2119276E-001	-4.161903711673243E-002	1.000000000000000E+000
9.326483933199837E+003	2.2219168E-001	-4.131578947336778E-002	1.000000000000000E+000
9.329817033159488E+003	2.2319888E-001	-4.098500747362588E-002	1.000000000000000E+000
9.333150133119139E+003	2.2420199E-001	-4.065250658509972E-002	1.000000000000000E+000
9.336483233078761E+003	2.2518988E-001	-4.031597405407647E-002	1.000000000000000E+000
9.339816333038420E+003	2.2619452E-001	-4.000903019720692E-002	1.000000000000000E+000
9.343149432998063E+003	2.2719300E-001	-3.973349295616924E-002	1.000000000000000E+000
9.346482532957707E+003	2.2818421E-001	-3.948543488612055E-002	1.000000000000000E+000
9.349815632917336E+003	2.2917403E-001	-3.922244132903668E-002	1.000000000000000E+000
9.353148732877045E+003	2.3015335E-001	-3.898346138802078E-002	1.000000000000000E+000
9.356481732836633E+003	2.3118730E-001	-3.874918433980222E-002	1.000000000000000E+000
9.359814832796284E+003	2.3218830E-001	-3.853977761042121E-002	1.000000000000000E+000
9.363147932755935E+003	2.3319702E-001	-3.836060623283355E-002	1.000000000000000E+000
9.366481032715557E+003	2.3416810E-001	-3.818405341852127E-002	1.000000000000000E+000
9.369814132675237E+003	2.3517823E-001	-3.801425072407782E-002	1.000000000000000E+000
9.373147232634874E+003	2.3617907E-001	-3.786443250270055E-002	1.000000000000000E+000
9.376480332594525E+003	2.3717499E-001	-3.768232075319594E-002	1.000000000000000E+000
9.379813432554161E+003	2.3818640E-001	-3.746928766635582E-002	1.000000000000000E+000
9.383146532513827E+003	2.3918252E-001	-3.724270636638871E-002	1.000000000000000E+000
