time/s	Ewe/V	<I>/mA	cycle number	
1.007309452416051E+004	3.2112762E-001	-1.288869283587263E-002	1.000000000000000E+000
1.007642772412013E+004	3.2213143E-001	-1.281879930467477E-002	1.000000000000000E+000
1.007976082407979E+004	3.2314372E-001	-1.274715397155468E-002	1.000000000000000E+000
1.008309392403944E+004	3.2413411E-001	-1.267776538222377E-002	1.000000000000000E+000
1.008642692399908E+004	3.2513449E-001	-1.260960400481131E-002	1.000000000000000E+000
1.008976002395875E+004	3.2612920E-001	-1.254065710278643E-002	1.000000000000000E+000
1.009309312391834E+004	3.2710621E-001	-1.246824258378132E-002	1.000000000000000E+000
1.009642622387799E+004	3.2811272E-001	-1.239691573746655E-002	1.000000000000000E+000
1.009975932383764E+004	3.2911780E-001	-1.232759784359247E-002	1.000000000000000E+000
1.010309242379729E+004	3.3010903E-001	-1.225905549253126E-002	1.000000000000000E+000
1.010642552375695E+004	3.3112854E-001	-1.218779228322972E-002	1.000000000000000E+000
1.010975862371657E+004	3.3210921E-001	-1.211796158211863E-002	1.000000000000000E+000
1.011309172367623E+004	3.3312356E-001	-1.204822606428049E-002	1.000000000000000E+000
1.011642482363587E+004	3.3407855E-001	-1.197970902678613E-002	1.000000000000000E+000
1.011975792359551E+004	3.3509466E-001	-1.190727617788076E-002	1.000000000000000E+000
1.012309102355514E+004	3.3612967E-001	-1.183574780126520E-002	1.000000000000000E+000
1.012642402351485E+004	3.3711725E-001	-1.176609528967945E-002	1.000000000000000E+000
1.012975712347444E+004	3.3813062E-001	-1.169690469283355E-002	1.000000000000000E+000
1.013309022343409E+004	3.3912420E-001	-1.162902146900527E-002	1.000000000000000E+000
1.013642332339374E+004	3.4013900E-001	-1.155804848748620E-002	1.000000000000000E+000
1.013975642335336E+004	3.4112480E-001	-1.148937892749466E-002	1.000000000000000E+000
1.014308952331304E+004	3.4212449E-001	-1.142325949356809E-002	1.000000000000000E+000
1.014642262327268E+004	3.4312832E-001	-1.135548064275455E-002	1.000000000000000E+000
1.014975572323233E+004	3.4411189E-001	-1.128772963088454E-002	1.000000000000000E+000
1.015308882319197E+004	3.4512845E-001	-1.122192386327463E-002	1.000000000000000E+000
1.015642192315163E+004	3.4610376E-001	-1.115326744906553E-002	1.000000000000000E+000
1.015975502311130E+004	3.4709948E-001	-1.108485635800648E-002	1.000000000000000E+000
1.016308812307095E+004	3.4808478E-001	-1.101614297220840E-002	1.000000000000000E+000
1.016642112303054E+004	3.4910727E-001	-1.094630606935412E-002	1.000000000000000E+000
1.016975422299025E+004	3.5010508E-001	-1.087866542208654E-002	1.000000000000000E+000
1.017308732294984E+004	3.5109404E-001	-1.081425619141646E-002	1.000000000000000E+000
1.017642042290949E+004	3.5210395E-001	-1.074447645932985E-002	1.000000000000000E+000
1.017975352286917E+004	3.5311049E-001	-1.067787180597524E-002	1.000000000000000E+000
1.018308662282882E+004	3.5411134E-001	-1.061148518570393E-002	1.000000000000000E+000
1.018641972278846E+004	3.5512528E-001	-1.054513538384857E-002	1.000000000000000E+000
1.018975282274811E+004	3.5610768E-001	-1.047755372127812E-002	1.000000000000000E+000
1.019308592270773E+004	3.5710716E-001	-1.041373152041519E-002	1.000000000000000E+000
1.019641902266738E+004	3.5809699E-001	-1.034824185149403E-002	1.000000000000000E+000
1.019975212262703E+004	3.5911155E-001	-1.028148429977152E-002	1.000000000000000E+000
1.020308522258664E+004	3.6013705E-001	-1.021516497798544E-002	1.000000000000000E+000
1.020641832254635E+004	3.6111850E-001	-1.014878908793632E-002	1.000000000000000E+000
1.020975132250594E+004	3.6213326E-001	-1.008099213386280E-002	1.000000000000000E+000
1.021308442246559E+004	3.6312580E-001	-1.001628178916353E-002	1.000000000000000E+000
1.021641752242524E+004	3.6413389E-001	-9.951227133594531E-003	1.000000000000000E+000
1.021975062238489E+004	3.6513150E-001	-9.887644235526211E-003	1.000000000000000E+000
1.022308372234454E+004	3.6611277E-001	-9.822562137061036E-003	1.000000000000000E+000
1.022641682230416E+004	3.6709023E-001	-9.758891251039403E-003	1.000000000000000E+000
1.022974992226382E+004	3.6809421E-001	-9.692046942512314E-003	1.000000000000000E+000
1.023308302222347E+004	3.6911163E-001	-9.626794599226300E-003	1.000000000000000E+000
1.023641612218311E+004	3.7011221E-001	-9.561970054608029E-003	1.000000000000000E+000
1.023974922214274E+004	3.7109524E-001	-9.500425324961037E-003	1.000000000000000E+000
1.024308232210245E+004	3.7209722E-001	-9.436974933872938E-003	1.000000000000000E+000
1.024641532206204E+004	3.7310463E-001	-9.372643332724223E-003	1.000000000000000E+000
1.024974842202169E+004	3.7410018E-001	-9.312219256840670E-003	1.000000000000000E+000
1.025308152198134E+004	3.7511176E-001	-9.248918749613408E-003	1.000000000000000E+000
1.025641462194096E+004	3.7611979E-001	-9.183459640235536E-003	1.000000000000000E+000
1.025974772190067E+004	3.7710360E-001	-9.119034757657945E-003	1.000000000000000E+000
1.026308082186028E+004	3.7809533E-001	-9.054640595758195E-003	1.000000000000000E+000
1.026641392181993E+004	3.7910205E-001	-8.989767952266498E-003	1.000000000000000E+000
1.026974702177958E+004	3.8010401E-001	-8.927834911694521E-003	1.000000000000000E+000
1.027308012173923E+004	3.8108969E-001	-8.868039349104795E-003	1.000000000000000E+000
1.027641332169884E+004	3.8212049E-001	-8.807359906095130E-003	1.000000000000000E+000
1.027974642165855E+004	3.8309389E-001	-8.744183972013913E-003	1.000000000000000E+000
1.028307952161814E+004	3.8410845E-001	-8.681483726231676E-003	1.000000000000000E+000
1.028641252157785E+004	3.8509014E-001	-8.618740276998889E-003	1.000000000000000E+000
1.028974522153745E+004	3.8608241E-001	-8.558507019455226E-003	1.000000000000000E+000
1.029307832149710E+004	3.8707471E-001	-8.495714728037979E-003	1.000000000000000E+000
1.029641142145675E+004	3.8807914E-001	-8.434813371562468E-003	1.000000000000000E+000
1.029974452141640E+004	3.8909712E-001	-8.373525705970955E-003	1.000000000000000E+000
1.030307762137605E+004	3.9008543E-001	-8.310712749431556E-003	1.000000000000000E+000
1.030641072133571E+004	3.9109236E-001	-8.248940322893139E-003	1.000000000000000E+000
1.030974382129533E+004	3.9208940E-001	-8.188263741444796E-003	1.000000000000000E+000
1.031307692125498E+004	3.9308679E-001	-8.128998834195024E-003	1.000000000000000E+000
1.031641002121462E+004	3.9408743E-001	-8.068502602616573E-003	1.000000000000000E+000
1.031974312117426E+004	3.9508122E-001	-8.008462440714077E-003	1.000000000000000E+000
1.032307622113390E+004	3.9608905E-001	-7.947971330286602E-003	1.000000000000000E+000
1.032640922109355E+004	3.9709786E-001	-7.888412774794323E-003	1.000000000000000E+000
1.032974232105320E+004	3.9807683E-001	-7.827607083680264E-003	1.000000000000000E+000
1.033307542101284E+004	3.9907148E-001	-7.767854972902971E-003	1.000000000000000E+000
1.033640852097247E+004	4.0009922E-001	-7.708550314896180E-003	1.000000000000000E+000
1.033974162093212E+004	4.0108016E-001	-7.649316658947913E-003	1.000000000000000E+000
1.034307472089177E+004	4.0207794E-001	-7.590267537085527E-003	1.000000000000000E+000
1.034640782085143E+004	4.0310177E-001	-7.531838814630931E-003	1.000000000000000E+000
1.034974092081108E+004	4.0410236E-001	-7.471753261199372E-003	1.000000000000000E+000
1.035307402077071E+004	4.0509018E-001	-7.413548048829190E-003	1.000000000000000E+000
1.035640712073036E+004	4.0606269E-001	-7.355344698868740E-003	1.000000000000000E+000
1.035974022069000E+004	4.0706590E-001	-7.296249168208119E-003	1.000000000000000E+000
1.036307332064964E+004	4.0807983E-001	-7.237589913653886E-003	1.000000000000000E+000
1.036640632060929E+004	4.0907133E-001	-7.179469313484557E-003	1.000000000000000E+000
1.036973942056893E+004	4.1006303E-001	-7.122781851418736E-003	1.000000000000000E+000
1.037307252052860E+004	4.1106725E-001	-7.065179323216413E-003	1.000000000000000E+000
1.037640562048825E+004	4.1207269E-001	-7.006869368273216E-003	1.000000000000000E+000
1.037973872044793E+004	4.1309434E-001	-6.949161199918914E-003	1.000000000000000E+000
1.038307182040752E+004	4.1410705E-001	-6.892234026122657E-003	1.000000000000000E+000
1.038640492036717E+004	4.1509315E-001	-6.833894949632074E-003	1.000000000000000E+000
1.038973802032683E+004	4.1609359E-001	-6.776340313296386E-003	1.000000000000000E+000
1.039307112028648E+004	4.1709673E-001	-6.718976631718401E-003	1.000000000000000E+000
1.039640422024611E+004	4.1810182E-001	-6.664018159173207E-003	1.000000000000000E+000
1.039973732020576E+004	4.1910854E-001	-6.608790602379858E-003	1.000000000000000E+000
1.040307042016540E+004	4.2010108E-001	-6.555268585473496E-003	1.000000000000000E+000
1.040640352012505E+004	4.2108724E-001	-6.499326085200152E-003	1.000000000000000E+000
1.040973652008470E+004	4.2209655E-001	-6.443559216291694E-003	1.000000000000000E+000
1.041306962004435E+004	4.2309880E-001	-6.387850283584657E-003	1.000000000000000E+000
1.041640272000400E+004	4.2409602E-001	-6.332322454864949E-003	1.000000000000000E+000
1.041973581996365E+004	4.2507562E-001	-6.276713382464577E-003	1.000000000000000E+000
1.042306891992330E+004	4.2606300E-001	-6.223240485494226E-003	1.000000000000000E+000
1.042640201988292E+004	4.2709973E-001	-6.167775779471293E-003	1.000000000000000E+000
1.042973511984257E+004	4.2808712E-001	-6.113138245201558E-003	1.000000000000000E+000
1.043306821980221E+004	4.2907700E-001	-6.058335260999970E-003	1.000000000000000E+000
1.043640131976186E+004	4.3008050E-001	-6.003773065062668E-003	1.000000000000000E+000
